file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\security\SecureRequester.java,jenkins.security.SecureRequester,interface,1,2,3,,0.0,15,0,0,1,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,22,1.0,2.0,3.0,,0.0,15.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,22.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\DescriptorExtensionList.java,hudson.DescriptorExtensionList$255,anonymous,1,0,5,,0.0,15,0,1,0,0,1,1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,255,1.0,0.0,5.0,,0.0,15.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,255.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\XStream2.java,hudson.util.XStream2$AssociatedConverterImpl,innerclass,1,0,13,0.0,0.70000005,56,0,15,0,2,5,18,0.0,-1.0,13.0,2.0,0.13333334,-1.0,9.0,396,1.0,0.0,13.0,0.0,0.70000005,56.0,0.0,15.0,0.0,2.0,5.0,18.0,0.0,-1.0,13.0,2.0,0.13333334,-1.0,9.0,396.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\JDK.java,hudson.model.JDK$DescriptorImpl,innerclass,2,0,6,0.0,0.0,33,0,17,0,0,5,11,7.0,1.0,9.0,0.0,0.0,0.0,6.0,173,2.0,0.0,6.0,0.0,0.0,33.0,0.0,17.0,0.0,0.0,5.0,11.0,7.0,1.0,9.0,0.0,0.0,0.0,6.0,173.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\util\xstream\XStreamDOM.java,jenkins.util.xstream.XStreamDOM$ConverterImpl,innerclass,1,0,7,0.0,0.0,50,0,21,0,0,6,13,0.0,-1.0,14.0,0.0,0.0,-1.0,4.0,473,1.0,0.0,7.0,0.0,0.0,50.0,0.0,21.0,0.0,0.0,6.0,13.0,0.0,-1.0,14.0,0.0,0.0,-1.0,4.0,473.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\labels\LabelExpression.java,hudson.model.labels.LabelExpression$Implies,innerclass,5,0,6,0.0,0.0,14,0,1,0,0,4,4,9.0,1.0,2.0,0.0,0.0,0.0,1.0,209,5.0,0.0,6.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,4.0,4.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,209.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\Job.java,hudson.model.Job$SubItemBuildsLocationImpl,innerclass,2,0,8,,0.0,30,0,14,0,0,1,8,0.0,1.0,8.0,0.0,0.0,-1.0,5.0,683,2.0,0.0,8.0,,0.0,30.0,0.0,14.0,0.0,0.0,1.0,8.0,0.0,1.0,8.0,0.0,0.0,-1.0,5.0,683.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\FileParameterDefinition.java,hudson.model.FileParameterDefinition$DescriptorImpl,innerclass,3,0,3,0.0,0.0,8,0,1,0,0,2,2,6.0,1.0,0.0,0.0,-1.0,0.0,0.0,70,3.0,0.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,0.0,-1.0,0.0,0.0,70.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\security\FrameOptionsPageDecorator.java,jenkins.security.FrameOptionsPageDecorator,class,2,1,7,-1.0,,3,0,3,0,1,0,0,6.0,0.0,0.0,0.0,-1.0,0.0,0.0,16,2.0,1.0,7.0,-1.0,,3.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,-1.0,0.0,0.0,16.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\jenkins\util\TimerTest.java,jenkins.util.TimerTest$36,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,36,1.0,0.0,0.0,,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,36.0
