file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\util\io\LinesStream.java,jenkins.util.io.LinesStream$91,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,91,jenkins.util.io.LinesStream$91,anonymous,1,0,0,,0.0,15,0,3,0,0,1,3
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\widgets\HistoryPageFilter.java,jenkins.widgets.HistoryPageFilter,0.0,-1.0,26.0,32.0,0.55172414,-1.0,9.0,50,jenkins.widgets.HistoryPageFilter,class,1,5,14,0.0952381,0.9087302,253,0,51,0,12,21,74
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\org\jenkins\ui\icon\IconSpec.java,org.jenkins.ui.icon.IconSpec,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,35,org.jenkins.ui.icon.IconSpec,interface,1,0,0,,0.0,3,0,0,0,0,1,1
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\DependencyGraph.java,hudson.model.DependencyGraph$DependencyGroup,0.0,-1.0,2.0,5.0,0.71428573,-1.0,1.0,450,hudson.model.DependencyGraph$DependencyGroup,innerclass,1,0,2,1.0,0.53333336,21,0,3,0,2,5,5
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\Label.java,hudson.model.Label$NodeSorter,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,208,hudson.model.Label$NodeSorter,innerclass,1,0,2,,1.0,9,0,2,0,1,1,4
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\tools\CommandInstaller.java,hudson.tools.CommandInstaller$DescriptorImpl,6.0,1.0,0.0,0.0,-1.0,0.0,0.0,60,hudson.tools.CommandInstaller$DescriptorImpl,innerclass,4,0,4,,0.0,5,0,1,0,0,1,1
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\slaves\SlaveComputer.java,hudson.slaves.SlaveComputer$SlaveVersion,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,982,hudson.slaves.SlaveComputer$SlaveVersion,innerclass,2,0,1,,0.0,10,0,0,0,0,1,2
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\slaves\CloudProvisioningListenerTest.java,hudson.slaves.CloudProvisioningListenerTest$CloudProvisioningListenerOverride,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,14,hudson.slaves.CloudProvisioningListenerTest$CloudProvisioningListenerOverride,innerclass,2,0,4,,0.0,5,0,2,0,0,1,1
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\AbstractModelObject.java,hudson.model.AbstractModelObject,0.0,-1.0,12.0,0.0,0.0,-1.0,4.0,45,hudson.model.AbstractModelObject,class,1,18,8,0.0,0.0,43,14,15,0,0,10,15
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\install\InstallState.java,jenkins.install.InstallState$CreateAdminUser,1.0,1.0,2.0,0.0,0.0,0.0,1.0,122,jenkins.install.InstallState$CreateAdminUser,innerclass,2,0,3,0.0,0.0,11,0,4,0,0,2,3
