file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\security\BasicHeaderAuthenticator.java,jenkins.security.BasicHeaderAuthenticator,0.0,-1.0,5.0,2.0,0.2857143,-1.0,4.0,class,1,4,8,0.0,0.0,18,2,7,0,0,3,6
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\FilePath.java,hudson.FilePath,0.0,-1.0,122.0,87.0,0.41626793,-1.0,42.0,class,106,84,121,0.07809346,0.9679346,2116,0,231,66,16,149,334
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\security\csrf\CSRFAdministrativeMonitor.java,jenkins.security.csrf.CSRFAdministrativeMonitor,7.0,1.0,2.0,0.0,0.0,0.0,1.0,class,2,0,6,0.0,0.0,11,0,3,0,0,3,4
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\security\ImpersonatingExecutorService.java,jenkins.security.ImpersonatingExecutorService.1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,anonymous,1,0,0,,0.0,7,0,2,0,0,1,1
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\security\stapler\StaplerDispatchValidator.java,jenkins.security.stapler.StaplerDispatchValidator,0.0,-1.0,13.0,8.0,0.3809524,-1.0,7.0,class,1,3,14,0.71428573,0.6888889,236,0,24,1,5,9,21
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\util\FullDuplexHttpService.java,jenkins.util.FullDuplexHttpService,0.0,-1.0,9.0,15.0,0.625,-1.0,4.0,class,2,4,10,1.0,0.45833334,94,0,16,1,6,4,10
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\util\xml\XMLUtils.java,jenkins.util.xml.XMLUtils,0.0,-1.0,24.0,12.0,0.33333334,-1.0,10.0,class,1,2,7,0.0,0.84090906,118,0,43,0,4,11,25
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\AgentProtocol.java,jenkins.AgentProtocol,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,class,1,7,4,0.0,0.0,26,5,4,0,0,8,11
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\FilePath.java,hudson.FilePath.ReadLink,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,innerclass,3,0,3,,1.0,6,0,2,0,1,1,1
C:\Users\sugii syuji\gitProject\jenkins\core\src\test\java\hudson\util\io\TarArchiverTest.java,hudson.util.io.TarArchiverTest,0.0,-1.0,7.0,0.0,0.0,-1.0,4.0,class,1,1,9,0.33333334,0.5,90,0,33,1,1,4,5
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\util\HudsonIsRestarting.java,hudson.util.HudsonIsRestarting,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,class,1,1,2,,0.0,6,0,3,0,0,1,1
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\model\GlobalPluginConfiguration.java,jenkins.model.GlobalPluginConfiguration,6.0,1.0,3.0,0.0,0.0,0.0,3.0,class,3,0,9,,0.0,19,0,5,0,0,1,5
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\security\RSADigitalSignatureConfidentialKey.java,jenkins.security.RSADigitalSignatureConfidentialKey,3.0,0.0,6.0,1.0,0.14285715,0.33333334,6.0,class,3,1,1,0.0,0.6666667,21,0,9,0,1,3,4
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\diagnosis\HsErrPidFile.java,jenkins.diagnosis.HsErrPidFile,0.0,-1.0,7.0,2.0,0.22222222,-1.0,3.0,class,1,2,7,0.75,0.4375,33,0,12,0,2,8,8
