file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,qualifiedName,LongMethod
C:\Users\syuuj\gitProject\retrofit\retrofit-mock\src\main\java\retrofit\MockRestAdapter.java,retrofit.MockRestAdapter.MockRxSupport,MockRxSupport/1[retrofit.RestAdapter],1,0,1,4,0,0,1,0,0,0,2.0,2.0,0.5,1.0,473,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.5,1.0,531.0,retrofit.MockRestAdapter.MockRxSupport.MockRxSupport,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit-mock\src\main\java\retrofit\MockRestAdapter.java,retrofit.MockRestAdapter.MockRxSupport,"createMockObservable/4[retrofit.MockRestAdapter.MockHandler,retrofit.RestMethodInfo,retrofit.RequestInterceptor,java.lang.Object[]]",1,0,1,24,1,0,4,0,1,0,0.0,0.0,-1.0,0.0,478,1.0,0.0,1.0,24.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,536.0,retrofit.MockRestAdapter.MockRxSupport.createMockObservable,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\mime\MimeHelper.java,retrofit.mime.MimeHelper,getParts/1[retrofit.mime.MultipartTypedOutput],3,1,2,8,1,0,1,0,0,0,1.0,0.0,0.0,1.0,7,3.0,1.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,retrofit.mime.MimeHelper.getParts,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,file/0,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,52,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,52.0,retrofit.mime.TypedFile.file,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,moveTo/1[retrofit.mime.TypedFile],0,2,3,8,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,91,0.0,2.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,91.0,retrofit.mime.TypedFile.moveTo,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,mimeType/0,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,56,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,56.0,retrofit.mime.TypedFile.mimeType,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,in/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,68,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,68.0,retrofit.mime.TypedFile.in,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,writeTo/1[java.io.OutputStream],0,0,2,13,0,3,1,1,0,0,0.0,2.0,1.0,0.0,72,0.0,0.0,2.0,13.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,72.0,retrofit.mime.TypedFile.writeTo,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,fileName/0,0,0,1,3,1,0,0,0,0,0,1.0,0.0,0.0,1.0,64,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,64.0,retrofit.mime.TypedFile.fileName,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,hashCode/0,1,0,1,3,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,113,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,113.0,retrofit.mime.TypedFile.hashCode,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,toString/0,1,1,1,3,1,0,0,0,0,0,1.0,0.0,0.0,1.0,100,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,retrofit.mime.TypedFile.toString,0.0
