file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\ie\KBPRelationExtractor.java,edu.stanford.nlp.ie.KBPRelationExtractor.RelationType,0.0,0.0,2.0,9.0,0.8181818,-1.0,1.0,120,enum,1,0,3,0.33333334,0.51851857,56,0,14,1,9,3,14
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\classify\PRCurve.java,edu.stanford.nlp.classify.PRCurve,0.0,-1.0,14.0,41.0,0.74545455,-1.0,4.0,23,class,1,1,8,0.14229248,0.8333333,250,0,34,0,6,23,65
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\trees\tregex\tsurgeon\HoldTreeNode.java,edu.stanford.nlp.trees.tregex.tsurgeon.HoldTreeNode.Matcher,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,25,innerclass,2,0,5,0.0,0.0,8,0,4,0,0,2,2
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\trees\international\hebrew\HebrewTreebankLanguagePack.java,edu.stanford.nlp.trees.international.hebrew.HebrewTreebankLanguagePack,3.0,1.0,0.0,7.0,1.0,0.0,0.0,13,class,2,3,6,0.036363635,0.89393944,41,0,0,0,6,11,11
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\international\arabic\ArabicWordLists.java,edu.stanford.nlp.international.arabic.ArabicWordLists,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0,13,class,1,0,0,0.0,0.8611111,109,0,3,0,6,6,11
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\sequences\Clique.java,edu.stanford.nlp.sequences.Clique,0.0,-1.0,16.0,13.0,0.44827586,-1.0,2.0,22,class,1,4,3,0.3956044,0.7777778,138,0,14,1,4,18,30
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\pipeline\CoreNLPProtos.java,edu.stanford.nlp.pipeline.CoreNLPProtos.CorefChain.CorefMention.Builder,0.0,0.0,39.0,146.0,0.78918916,-1.0,4.0,38617,innerclass,1,0,14,0.5766621,0.89220774,527,0,52,0,11,70,136
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\naturalli\NaturalLogicAnnotator.java,edu.stanford.nlp.naturalli.NaturalLogicAnnotator.5,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,210,anonymous,1,0,0,,0.0,6,0,1,0,0,0,1
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\parser\lexparser\GrammarCompactionTester.java,edu.stanford.nlp.parser.lexparser.GrammarCompactionTester,0.0,-1.0,60.0,83.0,0.5804196,-1.0,15.0,16,class,1,1,38,0.16666667,0.8981287,457,0,84,0,34,13,87
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\coref\hybrid\sieve\ChineseHeadMatch.java,edu.stanford.nlp.coref.hybrid.sieve.ChineseHeadMatch,4.0,0.0,2.0,0.0,0.0,0.0,1.0,5,class,3,0,1,0.0,0.0,10,0,0,0,0,2,2
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\trees\EnglishGrammaticalStructure.java,edu.stanford.nlp.trees.EnglishGrammaticalStructure,12.0,0.1764706,262.0,56.0,0.17610063,0.0,10.0,32,class,2,4,24,0.07692308,0.90225565,1288,0,105,2,7,38,503
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\util\Pair.java,edu.stanford.nlp.util.Pair.BySecondReversePairComparator,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,295,innerclass,1,0,3,,0.0,5,0,2,0,0,1,1
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\util\OneToOneMap.java,edu.stanford.nlp.util.OneToOneMap,0.0,-1.0,2.0,2.0,0.5,-1.0,1.0,16,class,3,0,4,1.0,0.53333336,66,0,17,1,3,15,18
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\time\SUTimeMain.java,edu.stanford.nlp.time.SUTimeMain.EvalStats,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,170,innerclass,1,0,1,-1.0,,5,0,0,0,3,0,0
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\patterns\PatternsAnnotations.java,edu.stanford.nlp.patterns.PatternsAnnotations.PatternHumanLabel10,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,184,innerclass,1,0,1,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\time\SUTime.java,edu.stanford.nlp.time.SUTime.StandardTemporalType,0.0,0.0,8.0,9.0,0.5294118,-1.0,3.0,835,enum,1,0,8,0.46666667,0.6333333,94,0,6,0,3,10,12
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\ling\tokensregex\SequencePattern.java,edu.stanford.nlp.ling.tokensregex.SequencePattern.MultiNodePatternExpr,7.0,0.8333333,0.0,4.0,1.0,0.0,0.0,367,innerclass,2,0,8,0.47619048,0.2857143,24,0,2,0,1,7,7
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\naturalli\Monotonicity.java,edu.stanford.nlp.naturalli.Monotonicity,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,8,enum,1,3,0,-1.0,0.0,1,0,0,0,0,0,0
C:\Users\syuuj\gitProject\CoreNLP\src\edu\stanford\nlp\coref\hybrid\HybridCorefProperties.java,edu.stanford.nlp.coref.hybrid.HybridCorefProperties,0.0,-1.0,55.0,30.0,0.3529412,-1.0,6.0,21,class,1,6,3,0.0017730496,0.9852943,242,0,30,0,64,51,70
