file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\quorum\QuorumDigestTest.java,org.apache.zookeeper.server.quorum.QuorumDigestTest,9.0,0.083333336,25.0,13.0,0.34210527,0.11111111,11.0,class,4,1,16,0.35714287,0.72222227,133,0,29,1,3,12,17
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\quorum\auth\MiniKdc.java,org.apache.zookeeper.server.quorum.auth.MiniKdc,0.0,-1.0,38.0,39.0,0.5064935,-1.0,13.0,class,1,6,3,0.35897437,0.82670456,248,0,76,0,22,16,45
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\quorum\WatchLeakTest.java,org.apache.zookeeper.server.quorum.WatchLeakTest.1,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,anonymous,1,0,2,,0.0,8,0,4,0,0,1,1
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\util\CircularBuffer.java,org.apache.zookeeper.server.util.CircularBuffer,0.0,-1.0,6.0,17.0,0.73913044,-1.0,1.0,class,1,2,1,1.0,0.4375,53,0,5,0,4,8,14
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\CreateContainerTest.java,org.apache.zookeeper.server.CreateContainerTest.1,8.0,1.0,2.0,0.0,0.0,0.0,2.0,anonymous,1,0,1,,0.0,8,0,2,0,0,1,2
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps.VoidCB,3.0,0.11111111,5.0,17.0,0.77272725,0.6666667,2.0,innerclass,2,0,5,0.18181819,0.54545456,50,0,12,0,1,11,11
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AuthTest.java,org.apache.zookeeper.test.AuthTest.MyWatcher,0.0,1.0,2.0,0.0,0.0,-1.0,2.0,innerclass,2,0,2,,0.0,10,0,3,0,0,1,2
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\common\ZKTrustManagerTest.java,org.apache.zookeeper.common.ZKTrustManagerTest.1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,anonymous,1,0,1,,0.0,5,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\quorum\auth\MiniKdcTest.java,org.apache.zookeeper.server.quorum.auth.MiniKdcTest,10.0,0.0,30.0,0.0,0.0,0.0,9.0,class,5,0,5,0.0,1.0,94,0,27,1,1,3,7
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\watch\WatchesPathReportTest.java,org.apache.zookeeper.server.watch.WatchesPathReportTest,2.0,0.0,3.0,4.0,0.5714286,0.0,1.0,class,2,0,4,1.0,0.25,33,0,11,0,2,4,4
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\audit\AuditLogPerfReading.java,org.apache.zookeeper.audit.AuditLogPerfReading,0.0,-1.0,0.0,12.0,1.0,-1.0,0.0,class,1,1,0,1.0,0.5,39,0,3,0,3,8,8
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest.Field,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,innerclass,1,0,0,,0.0,8,0,0,0,2,1,1
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\quorum\QuorumStats.java,org.apache.zookeeper.server.quorum.QuorumStats,0.0,-1.0,6.0,3.0,0.33333334,-1.0,2.0,class,1,2,2,0.5,0.25,44,0,8,1,1,4,9
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\quorum\EphemeralNodeDeletionTest.java,org.apache.zookeeper.server.quorum.EphemeralNodeDeletionTest.1,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\ZooKeeperServerTest.java,org.apache.zookeeper.server.ZooKeeperServerTest,2.0,0.0,14.0,0.0,0.0,0.0,4.0,class,2,0,4,0.0,0.0,82,0,16,0,0,6,9
