file,class,method,ATFD,ATLD,LAA,FDP,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\urldecoding\TypeUtil.java,spark.utils.urldecoding.TypeUtil,convertHexDigit/1[char],0.0,0.0,-1.0,0.0,2,0,3,7,1,1,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\urldecoding\TypeUtil.java,spark.utils.urldecoding.TypeUtil,convertHexDigit/1[int],0.0,0.0,-1.0,0.0,1,0,3,7,1,1,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\urldecoding\TypeUtil.java,spark.utils.urldecoding.TypeUtil,toHexString/1[byte],0.0,0.0,-1.0,0.0,1,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl.1,render/1[spark.ModelAndView],0.0,0.0,-1.0,0.0,0,3,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\staticfiles\StaticFilesFolder.java,spark.staticfiles.StaticFilesFolder,externalConfiguredTo/1[java.lang.String],1.0,1.0,0.5,1.0,0,1,1,5,0,1,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\staticfiles\StaticFilesFolder.java,spark.staticfiles.StaticFilesFolder,localConfiguredTo/1[java.lang.String],0.0,1.0,1.0,0.0,0,1,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,createRelative/1[java.lang.String],1.0,0.0,0.0,1.0,0,1,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,equals/1[java.lang.Object],2.0,0.0,0.0,1.0,0,1,2,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\hello\HelloWorld.java,spark.examples.hello.HelloWorld,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,0,1,1,3,0,2,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\simple\SimpleExample.java,spark.examples.simple.SimpleExample,main/1[java.lang.String[]],7.0,0.0,0.0,1.0,0,8,1,26,4,16,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\Base64.java,spark.Base64,decode/1[java.lang.String],0.0,0.0,-1.0,0.0,1,0,3,13,2,1,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\Base64.java,spark.Base64,encode/1[java.lang.String],1.0,0.0,0.0,1.0,3,0,2,7,2,1,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\staticfiles\DisableMimeGuessingTest.java,spark.staticfiles.DisableMimeGuessingTest,doGet/1[java.lang.String],0.0,0.0,-1.0,0.0,2,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\accept\JsonAcceptTypeExample.java,spark.examples.accept.JsonAcceptTypeExample,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,0,1,1,6,1,2,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\ClassUtils.java,spark.utils.ClassUtils,resolvePrimitiveClassName/1[java.lang.String],1.0,0.0,0.0,1.0,1,0,3,7,1,1,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\ResponseTransformerRouteImpl.java,spark.ResponseTransformerRouteImpl.1,render/1[java.lang.Object],0.0,0.0,-1.0,0.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\ClassPathResourceHandler.java,spark.resource.ClassPathResourceHandler,getResource/1[java.lang.String],5.0,4.0,0.44444445,4.0,0,6,11,34,3,2,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\staticfiles\StaticFilesTest.java,spark.staticfiles.StaticFilesTest,doGet/1[java.lang.String],0.0,0.0,-1.0,0.0,8,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\books\Books.java,spark.examples.books.Books,main/1[java.lang.String[]],9.0,0.0,0.0,4.0,1,12,7,64,8,23,1,1,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\urldecoding\Utf8Appendable.java,spark.utils.urldecoding.Utf8Appendable,append/1[byte],0.0,0.0,-1.0,0.0,1,1,2,8,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\urldecoding\Utf8Appendable.java,spark.utils.urldecoding.Utf8Appendable,append/1[char],0.0,0.0,-1.0,0.0,1,1,2,9,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\urldecoding\Utf8Appendable.java,spark.utils.urldecoding.Utf8Appendable,appendByte/1[byte],1.0,21.0,0.95454544,1.0,1,1,8,30,0,4,1,1,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\CookiesIntegrationTest.java,spark.CookiesIntegrationTest,httpPost/1[java.lang.String],3.0,1.0,0.33333334,2.0,4,0,2,13,0,2,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\ResponseWrapper.java,spark.http.matching.ResponseWrapper,body/1[java.lang.String],0.0,0.0,-1.0,0.0,1,1,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\ResponseWrapper.java,spark.http.matching.ResponseWrapper,equals/1[java.lang.Object],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\ResponseWrapper.java,spark.http.matching.ResponseWrapper,redirect/1[java.lang.String],0.0,1.0,1.0,0.0,0,1,1,4,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\ResponseWrapper.java,spark.http.matching.ResponseWrapper,removeCookie/1[java.lang.String],0.0,0.0,-1.0,0.0,0,1,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\ResponseWrapper.java,spark.http.matching.ResponseWrapper,setDelegate/1[spark.Response],0.0,1.0,1.0,0.0,6,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\ResponseWrapper.java,spark.http.matching.ResponseWrapper,status/1[int],0.0,0.0,-1.0,0.0,0,1,1,3,0,0,1,0,0,0
