,file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
6232,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\callbacks\ClassContainingCallbacks.java,org.mapstruct.ap.test.callbacks.ClassContainingCallbacks,withTargetBeforeMapping/1[org.mapstruct.ap.test.callbacks.Target],0.0,0.0,-1.0,0.0,113.0,0,1,1,3,0,0,1,0,0,0
6233,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\callbacks\ClassContainingCallbacks.java,org.mapstruct.ap.test.callbacks.ClassContainingCallbacks,withTargetBeforeMapping/1[org.mapstruct.ap.test.callbacks.TargetEnum],0.0,0.0,-1.0,0.0,118.0,0,1,1,3,0,0,1,0,0,0
6234,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_513\TargetElement.java,org.mapstruct.ap.test.bugs._513.TargetElement,getValue/0,0.0,1.0,1.0,0.0,16.0,0,0,1,3,1,0,0,0,0,0
6235,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_513\TargetElement.java,org.mapstruct.ap.test.bugs._513.TargetElement,setValue/1[java.lang.String],0.0,0.0,-1.0,0.0,20.0,0,1,1,3,0,0,1,0,0,0
6236,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1320\Target.java,org.mapstruct.ap.test.bugs._1320.Target.City,getCityName/0,0.0,1.0,1.0,0.0,39.0,1,0,1,3,1,0,0,0,0,0
6237,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1320\Target.java,org.mapstruct.ap.test.bugs._1320.Target.City,getStateName/0,0.0,1.0,1.0,0.0,47.0,1,0,1,3,1,0,0,0,0,0
6238,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1320\Target.java,org.mapstruct.ap.test.bugs._1320.Target.City,setCityName/1[java.lang.String],0.0,1.0,1.0,0.0,43.0,0,0,1,3,0,0,1,0,0,0
6239,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1320\Target.java,org.mapstruct.ap.test.bugs._1320.Target.City,setStateName/1[java.lang.String],0.0,1.0,1.0,0.0,51.0,0,0,1,3,0,0,1,0,0,0
6240,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\factories\b\BarFactory.java,org.mapstruct.ap.test.factories.b.BarFactory,createBar3/0,0.0,0.0,-1.0,0.0,15.0,0,1,1,3,1,0,0,0,0,0
6241,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\targetthis\FlatteningMapper.java,org.mapstruct.ap.test.targetthis.FlatteningMapper.NameDTO,getId/0,0.0,1.0,1.0,0.0,109.0,1,0,1,3,1,0,0,0,0,0
