file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\executor\RedissonExecutorServiceTest.java,org.redisson.executor.RedissonExecutorServiceTest,2.0,0.027027028,166.0,5.0,0.029239766,0.0,20.0,class,2,1,36,0.015873017,0.8648649,441,0,85,5,1,37,46
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\cache\LocalCacheListener.java,org.redisson.cache.LocalCacheListener.3,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,7,0,1,0,0,1,2
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\cache\AbstractCacheMap.java,org.redisson.cache.AbstractCacheMap.KeySet.1,0.0,0.0,2.0,4.0,0.6666667,-1.0,1.0,anonymous,1,0,1,0.0,0.0,17,0,2,0,0,2,4
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\RedissonBuckets.java,org.redisson.RedissonBuckets,0.0,-1.0,20.0,4.0,0.16666667,-1.0,8.0,class,1,2,12,1.0,0.25,79,0,25,0,2,8,15
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\redisnode\RedisNode.java,org.redisson.redisnode.RedisNode,0.0,-1.0,104.0,41.0,0.28275862,-1.0,9.0,class,1,2,23,0.9583333,0.5138889,215,0,41,0,3,48,68
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\remote\RemoteServiceAck.java,org.redisson.remote.RemoteServiceAck,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,class,1,2,1,0.5,0.625,15,0,0,0,2,4,4
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonTopicTest.java,org.redisson.RedissonTopicTest,0.0,-1.0,261.0,0.0,0.0,-1.0,39.0,class,1,1,30,0.0,0.0,939,0,153,1,0,37,80
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\api\stream\BaseStreamReadArgs.java,org.redisson.api.stream.BaseStreamReadArgs,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,class,1,2,5,1.0,0.0,17,0,2,0,1,4,4
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonTopicTest.java,org.redisson.RedissonTopicTest.6,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,6,0,3,0,0,1,1
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\liveobject\misc\AdvBeanCopy.java,org.redisson.liveobject.misc.AdvBeanCopy,0.0,0.0,3.0,0.0,0.0,-1.0,1.0,class,2,1,2,0.0,0.0,9,0,3,0,0,2,2
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonTopicTest.java,org.redisson.RedissonTopicTest.12,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1
