file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,GodClass
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\xml_references\PersonMapper2.java,org.apache.ibatis.submitted.xml_references.PersonMapper2.PersonType,interface,1,0,1,,0.0,3,0,0,0,0,1,1,0,-1.0,0,0,-1.0,-1.0,0,22,1.0,0.0,1.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,22.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\ClobReaderTypeHandlerTest.java,org.apache.ibatis.type.ClobReaderTypeHandlerTest,class,2,0,14,0.6111111,0.5555555,83,0,30,2,3,9,9,4,0.7777778,26,12,0.31578946,0.75,11,49,2.0,0.0,14.0,0.6111111,0.5555555,83.0,0.0,30.0,2.0,3.0,9.0,9.0,4.0,0.7777778,26.0,12.0,0.31578946,0.75,11.0,49.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\refid_resolution\ExternalRefidResolutionTest.java,org.apache.ibatis.submitted.refid_resolution.ExternalRefidResolutionTest,class,1,0,3,,0.0,10,0,4,0,0,1,1,0,-1.0,3,0,0.0,-1.0,3,29,1.0,0.0,3.0,,0.0,10.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,-1.0,3.0,0.0,0.0,-1.0,3.0,28.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\parent_reference_3level\Blog.java,org.apache.ibatis.submitted.parent_reference_3level.Blog,class,1,3,1,0.14285715,0.7142857,31,0,0,0,3,7,9,0,-1.0,0,8,1.0,-1.0,0,20,1.0,3.0,1.0,0.14285715,0.7142857,31.0,0.0,0.0,0.0,3.0,7.0,9.0,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,20.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazyload_proxyfactory_comparison\UserWithGetXxxWithoutInterface.java,org.apache.ibatis.submitted.lazyload_proxyfactory_comparison.UserWithGetXxxWithoutInterface,class,1,2,1,0.2,0.6666667,23,0,0,0,3,6,6,0,-1.0,0,6,1.0,-1.0,0,18,1.0,2.0,1.0,0.2,0.6666667,23.0,0.0,0.0,0.0,3.0,6.0,6.0,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,18.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\type\NClobTypeHandler.java,org.apache.ibatis.type.NClobTypeHandler,class,3,2,3,0.0,0.0,21,0,8,0,0,5,6,1,0.8,5,0,0.0,0.0,4,28,3.0,2.0,3.0,0.0,0.0,21.0,0.0,8.0,0.0,0.0,5.0,6.0,1.0,0.8,5.0,0.0,0.0,0.0,4.0,28.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\result_handler_type\ObjectFactory.java,org.apache.ibatis.submitted.result_handler_type.ObjectFactory,class,2,0,1,,1.0,16,0,1,0,1,1,4,1,1.0,5,0,0.0,1.0,5,26,2.0,0.0,1.0,,1.0,16.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,5.0,0.0,0.0,1.0,5.0,26.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\resolution\deepresultmap\DeepResultMapTest.java,org.apache.ibatis.submitted.resolution.deepresultmap.DeepResultMapTest,class,1,0,6,1.0,0.0,17,0,13,0,1,2,2,0,-1.0,9,1,0.1,-1.0,7,30,1.0,0.0,6.0,1.0,0.0,17.0,0.0,13.0,0.0,1.0,2.0,2.0,0.0,-1.0,9.0,1.0,0.1,-1.0,7.0,30.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\scripting\ScriptingException.java,org.apache.ibatis.scripting.ScriptingException,class,6,2,1,0.0,1.0,15,0,0,0,1,4,4,0,0.0,0,0,-1.0,-1.0,0,23,6.0,2.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,23.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\inheritance\UserProfileMapper.java,org.apache.ibatis.submitted.inheritance.UserProfileMapper,interface,1,1,3,,0.0,3,0,0,0,0,1,1,0,-1.0,0,0,-1.0,-1.0,0,20,1.0,1.0,3.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,20.0,0.0
