file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,RefusedBequest
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator.CssNthEvaluator,innerclass,2,0,4,0.4,0.4166667,24,0,4,0,1,6,13,0.0,0.25,0.0,17.0,1.0,-1.0,0.0,438,2.0,0.0,4.0,0.4,0.4166667,24.0,0.0,4.0,0.0,1.0,6.0,13.0,0.0,0.25,0.0,17.0,1.0,-1.0,0.0,438.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\select\TraversorTest.java,org.jsoup.select.TraversorTest.5,anonymous,1,0,2,0.0,0.0,10,0,3,0,0,2,3,0.0,-1.0,3.0,0.0,0.0,-1.0,1.0,103,1.0,0.0,2.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,-1.0,3.0,0.0,0.0,-1.0,1.0,103.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token.Comment,innerclass,2,0,2,0.4,0.52380955,41,0,7,0,3,7,10,0.0,0.16666667,1.0,11.0,0.9166667,-1.0,1.0,306,2.0,0.0,2.0,0.4,0.52380955,41.0,0.0,7.0,0.0,3.0,7.0,10.0,0.0,0.16666667,1.0,11.0,0.9166667,-1.0,1.0,268.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\select\TraversorTest.java,org.jsoup.select.TraversorTest.4,anonymous,1,0,2,0.0,0.0,8,0,2,0,0,2,4,0.0,-1.0,4.0,0.0,0.0,-1.0,1.0,83,1.0,0.0,2.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,-1.0,4.0,0.0,0.0,-1.0,1.0,83.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\select\TraversorTest.java,org.jsoup.select.TraversorTest.3,anonymous,1,0,2,0.0,0.0,11,0,3,0,0,2,3,0.0,-1.0,3.0,0.0,0.0,-1.0,1.0,61,1.0,0.0,2.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,-1.0,3.0,0.0,0.0,-1.0,1.0,61.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\select\TraversorTest.java,org.jsoup.select.TraversorTest.2,anonymous,1,0,2,0.0,0.0,10,0,3,0,0,2,3,0.0,-1.0,3.0,0.0,0.0,-1.0,1.0,40,1.0,0.0,2.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,-1.0,3.0,0.0,0.0,-1.0,1.0,40.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\integration\servlets\SlowRider.java,org.jsoup.integration.servlets.SlowRider,class,3,1,5,0.0,0.6666667,44,0,14,0,3,3,10,3.0,0.33333334,5.0,4.0,0.44444445,0.0,2.0,13,3.0,1.0,5.0,0.0,0.6666667,44.0,0.0,14.0,0.0,3.0,3.0,10.0,3.0,0.33333334,5.0,4.0,0.44444445,0.0,2.0,13.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\select\TraversorTest.java,org.jsoup.select.TraversorTest.1,anonymous,1,0,2,0.0,0.0,10,0,2,0,0,2,2,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,20,1.0,0.0,2.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,20.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator.IsFirstOfType,innerclass,4,0,1,0.0,0.0,8,0,0,0,0,2,2,4.0,1.0,0.0,0.0,-1.0,0.0,0.0,417,4.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,-1.0,0.0,0.0,417.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\nodes\Element.java,org.jsoup.nodes.Element.NodeList,innerclass,5,0,3,1.0,0.0,10,0,1,0,1,2,2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1676,5.0,0.0,3.0,1.0,0.0,10.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1676.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\examples\Wikipedia.java,org.jsoup.examples.Wikipedia,class,1,1,7,,0.0,13,0,9,0,0,2,3,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,13,1.0,1.0,7.0,,0.0,13.0,0.0,9.0,0.0,0.0,2.0,3.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,13.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\ParseError.java,org.jsoup.parser.ParseError,class,1,6,0,1.0,0.2,21,0,1,0,2,5,5,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,6,1.0,6.0,0.0,1.0,0.2,21.0,0.0,1.0,0.0,2.0,5.0,5.0,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,6.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\safety\Safelist.java,org.jsoup.safety.Safelist,class,5,9,12,0.53216374,0.6857143,302,3,68,5,5,21,58,0.0,-1.0,25.0,10.0,0.2857143,-1.0,5.0,65,5.0,9.0,12.0,0.53216374,0.6857143,302.0,3.0,68.0,5.0,5.0,21.0,58.0,0.0,-1.0,25.0,10.0,0.2857143,-1.0,5.0,65.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState.64,anonymous,1,0,2,,0.0,28,0,6,0,0,1,5,0.0,1.0,2.0,6.0,0.75,-1.0,1.0,1540,1.0,0.0,2.0,,0.0,28.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,6.0,0.75,-1.0,1.0,1545.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState.65,anonymous,1,0,2,,0.0,26,0,5,0,0,1,8,0.0,1.0,1.0,4.0,0.8,-1.0,1.0,1568,1.0,0.0,2.0,,0.0,26.0,0.0,5.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,4.0,0.8,-1.0,1.0,1573.0,0.0
