file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,moveCursor/0,1,3,2,11,2,0,0,0,0,0,0.0,11.0,1.0,0.0,151,1,3,2,11,2,0,0,0,0,0,0.0,11.0,1.0,0.0,151
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,lockBuffer/1[java.lang.String],3,0,1,3,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,167,3,0,1,3,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,167
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getOrgLexemes/0,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,245,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,245
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getCursor/0,7,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,89,7,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,89
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,compound/1[org.wltea.analyzer.core.Lexeme],1,3,11,30,1,4,1,0,0,0,13.0,0.0,0.0,1.0,355,1,3,11,30,1,4,1,0,0,0,13.0,0.0,0.0,1.0,355
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,fillBuffer/1[java.io.Reader],1,0,3,17,1,2,1,0,0,0,0.0,11.0,1.0,0.0,115,1,0,3,17,1,2,1,0,0,0,0.0,11.0,1.0,0.0,115
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getSegmentBuff/0,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,93,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,93
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getCurrentCharType/0,6,0,1,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,101,6,0,1,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,101
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,needRefillBuffer/0,1,1,4,3,1,0,0,0,0,0,0.0,7.0,1.0,0.0,207,1,1,4,3,1,0,0,0,0,0,0.0,7.0,1.0,0.0,207
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,isBufferLocked/0,1,0,2,3,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,184,1,0,2,3,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,184
