file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,RefusedBequest
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\CharacterHelper.java,org.wltea.analyzer.help.CharacterHelper,class,1,0,0,0.0,0.0,32,0,1,0,0,5,32,0.0,-1.0,10.0,0.0,0.0,-1.0,1.0,4,1,0,0,0.0,0.0,32,0,1,0,0,5,32,0.0,-1.0,10.0,0.0,0.0,-1.0,1.0,4,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,class,1,11,1,0.8947368,0.86666673,160,0,10,0,15,19,44,0.0,-1.0,0.0,60.0,1.0,-1.0,0.0,30,1,11,1,0.8947368,0.86666673,160,0,10,0,15,19,44,0.0,-1.0,0.0,60.0,1.0,-1.0,0.0,30,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java,org.wltea.analyzer.core.LetterSegmenter,class,1,2,5,0.33333334,0.6805556,153,0,15,0,9,8,41,0.0,-1.0,41.0,76.0,0.6495727,-1.0,3.0,33,1,2,5,0.33333334,0.6805556,153,0,15,0,9,8,41,0.0,-1.0,41.0,76.0,0.6495727,-1.0,3.0,33,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\CJKSegmenter.java,org.wltea.analyzer.core.CJKSegmenter,class,1,1,5,1.0,0.33333334,53,0,21,0,2,3,14,0.0,-1.0,16.0,3.0,0.15789473,-1.0,5.0,38,1,1,5,1.0,0.33333334,53,0,21,0,2,3,14,0.0,-1.0,16.0,3.0,0.15789473,-1.0,5.0,38,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LexemePath.java,org.wltea.analyzer.core.LexemePath,class,2,3,4,0.72527474,0.35714284,173,0,19,0,3,14,43,0.0,0.0,41.0,60.0,0.5940594,-1.0,3.0,31,2,3,4,0.72527474,0.35714284,173,0,19,0,3,14,43,0.0,0.0,41.0,60.0,0.5940594,-1.0,3.0,31,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\plugin\analysis\ik\AnalysisIkPlugin.java,org.elasticsearch.plugin.analysis.ik.AnalysisIkPlugin,class,2,1,4,0.0,1.0,15,0,1,0,1,2,2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,16,2,1,4,0.0,1.0,15,0,1,0,1,2,2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,16,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\ESPluginLoggerFactory.java,org.wltea.analyzer.help.ESPluginLoggerFactory,class,1,4,4,0.0,0.0,16,0,5,0,0,5,7,0.0,-1.0,5.0,3.0,0.375,-1.0,3.0,7,1,4,4,0.0,0.0,16,0,5,0,0,5,7,0.0,-1.0,5.0,3.0,0.375,-1.0,3.0,7,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Dictionary.java,org.wltea.analyzer.dic.Dictionary.1,anonymous,1,0,0,0.0,0.0,10,0,3,0,0,2,2,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,178,1,0,0,0.0,0.0,10,0,3,0,0,2,2,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,178,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,class,1,3,3,0.11111111,0.81632656,152,0,21,0,7,14,40,0.0,-1.0,12.0,31.0,0.7209302,-1.0,3.0,35,1,3,3,0.11111111,0.81632656,152,0,21,0,7,14,40,0.0,-1.0,12.0,31.0,0.7209302,-1.0,3.0,35,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\PrefixPluginLogger.java,org.wltea.analyzer.help.PrefixPluginLogger,class,2,1,7,1.0,0.375,31,0,5,0,2,4,7,0.0,0.0,2.0,4.0,0.6666667,-1.0,2.0,13,2,1,7,1.0,0.375,31,0,5,0,2,4,7,0.0,0.0,2.0,4.0,0.6666667,-1.0,2.0,13,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Dictionary.java,org.wltea.analyzer.dic.Dictionary,class,1,6,14,0.022222223,0.91896534,362,0,80,0,20,29,96,0.0,-1.0,35.0,59.0,0.62765956,-1.0,15.0,65,1,6,14,0.022222223,0.91896534,362,0,79,0,20,29,95,0.0,-1.0,35.0,59.0,0.62765956,-1.0,15.0,65,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\Sleep.java,org.wltea.analyzer.help.Sleep.Type,enum,1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,9,1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,9,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\Sleep.java,org.wltea.analyzer.help.Sleep,class,1,1,4,,0.0,28,0,6,1,1,1,6,0.0,-1.0,5.0,0.0,0.0,-1.0,2.0,5,1,1,4,,0.0,28,0,6,1,1,1,6,0.0,-1.0,5.0,0.0,0.0,-1.0,2.0,5,0
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\IKArbitrator.java,org.wltea.analyzer.core.IKArbitrator,class,1,2,6,0.0,0.0,62,0,21,0,0,5,16,0.0,-1.0,9.0,0.0,0.0,-1.0,4.0,33,1,2,6,0.0,0.0,62,0,21,0,0,5,16,0.0,-1.0,9.0,0.0,0.0,-1.0,4.0,33,0
