file,class,method_x,ATFD,ATLD,LAA,FDP,line,method_y,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\methods\AnnotationTest.java,org.junit.tests.running.methods.AnnotationTest$SuperStaticFieldShadowing$649,after/0,1.0,0.0,0.0,1.0,656,after/0,0,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\methods\AnnotationTest.java,org.junit.tests.running.methods.AnnotationTest$SuperStaticFieldShadowing$649,before/0,1.0,0.0,0.0,1.0,651,before/0,0,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\manipulation\SortableTest.java,org.junit.tests.manipulation.SortableTest$UnsortableRunnersAreHandledWithoutCrashing$Unsortable,a/0,0.0,0.0,-1.0,0.0,220,a/0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"failed/2[java.lang.Throwable,org.junit.runner.Description]",0.0,0.0,-1.0,0.0,122,"failed/2[java.lang.Throwable,org.junit.runner.Description]",0,0,1,3,0,0,2,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,finished/1[org.junit.runner.Description],0.0,0.0,-1.0,0.0,143,finished/1[org.junit.runner.Description],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"skipped/2[org.junit.AssumptionViolatedException,org.junit.runner.Description]",0.0,0.0,-1.0,0.0,127,"skipped/2[org.junit.AssumptionViolatedException,org.junit.runner.Description]",0,0,1,3,0,0,2,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"skipped/2[org.junit.internal.AssumptionViolatedException,org.junit.runner.Description]",0.0,0.0,-1.0,0.0,133,"skipped/2[org.junit.internal.AssumptionViolatedException,org.junit.runner.Description]",0,0,1,3,0,0,2,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,starting/1[org.junit.runner.Description],0.0,0.0,-1.0,0.0,138,starting/1[org.junit.runner.Description],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,succeeded/1[org.junit.runner.Description],0.0,0.0,-1.0,0.0,117,succeeded/1[org.junit.runner.Description],0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\experimental\categories\CategoryTest.java,org.junit.experimental.categories.CategoryTest$OneVerySlowTest,a/0,1.0,0.0,0.0,1.0,313,a/0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\junit4\src\main\java\org\junit\internal\Throwables.java,org.junit.internal.Throwables$State$215,processLine/1[java.lang.String],0.0,0.0,-1.0,0.0,216,processLine/1[java.lang.String],0,2,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\ClassRulesTest.java,org.junit.rules.ClassRulesTest$OrderTestRule$122,evaluate/0,1.0,0.0,0.0,1.0,124,evaluate/0,0,26,1,4,0,0,0,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\BlockJUnit4ClassRunnerOverrideTest.java,org.junit.rules.BlockJUnit4ClassRunnerOverrideTest$OverrideRulesTest,testFlipBit/0,0.0,1.0,1.0,0.0,54,testFlipBit/0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\experimental\categories\CategoryTest.java,org.junit.experimental.categories.CategoryTest$ExcludedTest1,test/0,0.0,0.0,-1.0,0.0,479,test/0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\junit3compatibility\SuiteMethodTest.java,org.junit.tests.junit3compatibility.SuiteMethodTest$NewTestSuiteFails,sample/0,1.0,0.0,0.0,1.0,86,sample/0,0,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\junit3compatibility\SuiteMethodTest.java,org.junit.tests.junit3compatibility.SuiteMethodTest$NewTestSuiteFails,suite/0,0.0,0.0,-1.0,0.0,90,suite/0,0,0,1,4,1,0,0,0,0,0
C:\Users\syuuj\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxHistory.java,org.junit.experimental.max.MaxHistory$TestComparator,"compare/2[org.junit.runner.Description,org.junit.runner.Description]",2.0,2.0,0.5,1.0,139,"compare/2[org.junit.runner.Description,org.junit.runner.Description]",0,3,4,10,3,1,2,0,0,0
C:\Users\syuuj\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxHistory.java,org.junit.experimental.max.MaxHistory$TestComparator,getFailure/1[org.junit.runner.Description],1.0,0.0,0.0,1.0,154,getFailure/1[org.junit.runner.Description],1,1,2,7,2,1,1,0,0,0
