file,class_x,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,class_y,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\order\orderproduct\OrderProductAttribute.java,com.salesmanager.core.model.order.orderproduct.OrderProductAttribute,0.0,-1.0,0.0,18.0,1.0,-1.0,0.0,21,com.salesmanager.core.model.order.orderproduct.OrderProductAttribute,class,1,5,10,0.05263158,0.9052631,68,0,0,0,10,19,19
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\shipping\ShippingSummary.java,com.salesmanager.core.model.shipping.ShippingSummary,0.0,-1.0,0.0,18.0,1.0,-1.0,0.0,13,com.salesmanager.core.model.shipping.ShippingSummary,class,1,4,1,0.05882353,0.9,66,0,0,0,10,18,18
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\shipping\ShippingOptionPriceType.java,com.salesmanager.core.model.shipping.ShippingOptionPriceType,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,3,com.salesmanager.core.model.shipping.ShippingOptionPriceType,enum,1,1,0,-1.0,0.0,1,0,0,0,0,0,0
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\shipping\ShippingDescription.java,com.salesmanager.core.model.shipping.ShippingDescription,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,3,com.salesmanager.core.model.shipping.ShippingDescription,enum,1,1,0,-1.0,0.0,1,0,0,0,0,0,0
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\content\InputContentFile.java,com.salesmanager.core.model.content.InputContentFile,0.0,0.0,0.0,4.0,1.0,-1.0,0.0,7,com.salesmanager.core.model.content.InputContentFile,class,3,7,1,0.33333334,0.6666667,17,1,0,0,3,4,4
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\order\filehistory\FileHistory.java,com.salesmanager.core.model.order.filehistory.FileHistory,0.0,-1.0,0.0,16.0,1.0,-1.0,0.0,32,com.salesmanager.core.model.order.filehistory.FileHistory,class,1,0,12,0.05882353,0.89542484,61,0,1,0,9,17,17
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\merchant\MerchantStore.java,com.salesmanager.core.model.merchant.MerchantStore,0.0,0.03448276,0.0,65.0,1.0,-1.0,0.0,44,com.salesmanager.core.model.merchant.MerchantStore,class,2,205,27,0.038251366,0.95399237,220,0,2,0,31,61,61
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\order\attributes\OrderAttribute.java,com.salesmanager.core.model.order.attributes.OrderAttribute,0.0,0.25,0.0,8.0,1.0,-1.0,0.0,24,com.salesmanager.core.model.order.attributes.OrderAttribute,class,2,4,11,0.14285715,0.8,31,0,0,0,5,8,8
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\catalog\product\attribute\ProductVariant.java,com.salesmanager.core.model.catalog.product.attribute.ProductVariant,0.0,0.25,0.0,8.0,1.0,-1.0,0.0,25,com.salesmanager.core.model.catalog.product.attribute.ProductVariant,class,2,0,14,0.14285715,0.8,31,0,0,0,5,8,8
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\order\OrderTotalItem.java,com.salesmanager.core.model.order.OrderTotalItem,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,6,com.salesmanager.core.model.order.OrderTotalItem,class,1,1,0,0.33333334,0.6666667,17,1,0,0,3,4,4
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\customer\attribute\CustomerOptionSet.java,com.salesmanager.core.model.customer.attribute.CustomerOptionSet,0.0,0.25,0.0,8.0,1.0,-1.0,0.0,27,com.salesmanager.core.model.customer.attribute.CustomerOptionSet,class,2,5,13,0.14285715,0.8,31,0,0,0,5,8,8
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\order\RebatesOrderTotalVariation.java,com.salesmanager.core.model.order.RebatesOrderTotalVariation,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,10,com.salesmanager.core.model.order.RebatesOrderTotalVariation,class,2,0,1,-1.0,0.0,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\common\Billing.java,com.salesmanager.core.model.common.Billing,0.0,-1.0,0.0,24.0,1.0,-1.0,0.0,15,com.salesmanager.core.model.common.Billing,class,1,5,7,0.04347826,0.91666675,86,0,0,0,12,24,24
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\catalog\catalog\CatalogCategoryEntry.java,com.salesmanager.core.model.catalog.catalog.CatalogCategoryEntry,0.0,0.2,0.0,10.0,1.0,-1.0,0.0,26,com.salesmanager.core.model.catalog.catalog.CatalogCategoryEntry,class,2,4,17,0.11111111,0.8333333,38,0,0,0,6,10,10
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\order\orderproduct\OrderProduct.java,com.salesmanager.core.model.order.orderproduct.OrderProduct,0.0,0.11111111,0.0,18.0,1.0,-1.0,0.0,26,com.salesmanager.core.model.order.orderproduct.OrderProduct,class,2,13,16,0.05263158,0.9052631,68,0,0,0,10,19,19
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\user\PermissionCriteria.java,com.salesmanager.core.model.user.PermissionCriteria,0.0,0.0,0.0,8.0,1.0,-1.0,0.0,8,com.salesmanager.core.model.user.PermissionCriteria,class,2,0,1,0.14285715,0.75,30,0,0,0,4,8,8
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\order\orderproduct\OrderProductDownload.java,com.salesmanager.core.model.order.orderproduct.OrderProductDownload,0.0,0.2,0.0,10.0,1.0,-1.0,0.0,21,com.salesmanager.core.model.order.orderproduct.OrderProductDownload,class,2,6,12,0.09090909,0.87012994,41,0,0,0,7,11,11
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\shipping\Quote.java,com.salesmanager.core.model.shipping.Quote,0.0,0.0625,0.0,32.0,1.0,-1.0,0.0,30,com.salesmanager.core.model.shipping.Quote,class,2,1,11,0.032258064,0.9411765,115,0,0,0,17,32,32
