file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variavlesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variavlesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,removeProductImages/1[com.salesmanager.core.model.catalog.product.Product],0,1,1,3,0,,1,0,0,0,0.0,0.0,-1.0,0.0,310,0.0,1.0,1.0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,310.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,setConfiguration/1[com.salesmanager.core.business.utils.CoreConfiguration],0,0,1,3,0,,1,0,0,0,0.0,1.0,1.0,0.0,50,0.0,0.0,1.0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,setGetImage/1[com.salesmanager.core.business.modules.cms.product.ProductImageGet],0,0,1,3,0,,1,0,0,0,0.0,1.0,1.0,0.0,341,0.0,0.0,1.0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,341.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,setRemoveImage/1[com.salesmanager.core.business.modules.cms.product.ProductImageRemove],0,0,1,3,0,,1,0,0,0,0.0,1.0,1.0,0.0,60,0.0,0.0,1.0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,60.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,setUploadImage/1[com.salesmanager.core.business.modules.cms.product.ProductImagePut],0,0,1,3,0,,1,0,0,0,0.0,1.0,1.0,0.0,330,0.0,0.0,1.0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,330.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,delete/1[com.salesmanager.core.business.services.customer.Customer],0,3,3,10,0,,1,1,0,0,3.0,1.0,0.25,2.0,100,0.0,3.0,3.0,10.0,0.0,,1.0,1.0,0.0,0.0,3.0,1.0,0.25,2.0,100.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,getById/1[java.lang.Long],1,1,1,3,1,,1,0,0,0,0.0,0.0,-1.0,0.0,51,1.0,1.0,1.0,3.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,51.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,getByName/1[java.lang.String],0,1,1,3,1,,1,0,0,0,0.0,0.0,-1.0,0.0,46,0.0,1.0,1.0,3.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,46.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,getByNick/1[java.lang.String],0,1,1,3,1,,1,0,0,0,0.0,0.0,-1.0,0.0,56,0.0,1.0,1.0,3.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,56.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,"getByNick/2[java.lang.String,int]",0,1,1,3,1,,2,0,0,0,0.0,0.0,-1.0,0.0,61,0.0,1.0,1.0,3.0,1.0,,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,61.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,"getByNick/2[java.lang.String,java.lang.String]",0,1,1,3,1,,2,0,0,0,0.0,0.0,-1.0,0.0,115,,,,,,,,,,,,,,,
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,"getByPasswordResetToken/2[java.lang.String,java.lang.String]",0,1,1,3,1,,2,0,0,0,0.0,0.0,-1.0,0.0,120,,,,,,,,,,,,,,,
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,"getCustomerAddress/2[com.salesmanager.core.business.services.customer.MerchantStore,java.lang.String]",0,1,2,8,1,,2,0,0,0,1.0,0.0,0.0,1.0,76,0.0,1.0,2.0,8.0,1.0,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,76.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,getListByStore/1[com.salesmanager.core.business.services.customer.MerchantStore],0,1,1,3,1,,1,0,0,0,1.0,0.0,0.0,1.0,66,0.0,1.0,1.0,3.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,66.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,"getListByStore/2[com.salesmanager.core.business.services.customer.MerchantStore,com.salesmanager.core.business.services.customer.CustomerCriteria]",0,1,1,3,1,,2,0,0,0,0.0,0.0,-1.0,0.0,71,0.0,1.0,1.0,3.0,1.0,,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,71.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,saveOrUpdate/1[com.salesmanager.core.business.services.customer.Customer],0,0,3,9,0,,1,0,0,0,2.0,0.0,0.0,1.0,87,0.0,0.0,3.0,9.0,0.0,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,87.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\customer\CustomerServiceImpl.java,com.salesmanager.core.business.services.customer.CustomerServiceImpl,CustomerServiceImpl/1[com.salesmanager.core.business.repositories.customer.CustomerRepository],0,0,1,4,0,,1,0,0,0,0.0,1.0,1.0,0.0,40,0.0,0.0,1.0,4.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\test\java\com\salesmanager\test\content\ContentImagesTest.java,com.salesmanager.test.content.ContentImagesTest,createStoreLogo/0,0,6,3,22,0,,0,0,0,0,20.0,0.0,0.0,7.0,38,0.0,11.0,3.0,22.0,0.0,,0.0,0.0,0.0,0.0,20.0,0.0,0.0,7.0,38.0
