file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\model\labels\LabelExpressionTest.java,hudson.model.labels.LabelExpressionTest,"parseAndVerify/2[java.lang.String,java.lang.String]",2,0,1,3,0,0,2,0,0,0,2,0,0,1,177,2,0,1,3,0,0,2,0,0,0,2,0,0,1,177
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\model\labels\LabelExpressionTest.java,hudson.model.labels.LabelExpressionTest,parseShouldFail/1[java.lang.String],1,0,2,8,0,0,1,0,0,0,0,0,-1,0,244,1,0,2,8,0,0,1,0,0,0,0,0,-1,0,244
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\model\labels\LabelExpressionTest.java,hudson.model.labels.LabelExpressionTest,parser1/0,0,1,1,10,0,0,0,0,0,0,0,0,-1,0,157,0,1,1,10,0,0,0,0,0,0,0,0,-1,0,157
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\model\labels\LabelExpressionTest.java,hudson.model.labels.LabelExpressionTest,queueBehavior2/0,0,0,1,13,0,3,0,0,0,0,8,3,0.27272728,3,121,0,0,1,13,0,3,0,0,0,0,8,3,0.27272728,3,121
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\model\labels\LabelExpressionTest.java,hudson.model.labels.LabelExpressionTest,formValidation/0,0,1,1,16,0,0,0,0,1,0,0,1,1,0,254,0,1,1,16,0,0,0,0,1,0,0,1,1,0,254
C:\Users\syuuj\gitProject\jenkins\test\src\test\java\hudson\model\labels\LabelExpressionTest.java,hudson.model.labels.LabelExpressionTest,composite/0,0,0,1,6,0,1,0,0,0,0,6,1,0.25,1,232,0,0,1,6,0,1,0,0,0,0,6,1,0.25,1,232
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\LargeText.java,hudson.model.LargeText.TailMark,TailMark/1[hudson.model.LargeText.ByteBuf],1,0,1,3,0,0,1,0,0,0,0,0,-1,0,262,1,0,1,3,0,0,1,0,0,0,0,0,-1,0,262
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\LargeText.java,hudson.model.LargeText.TailMark,moveToNextLine/1[hudson.model.LargeText.Session],1,2,6,15,2,1,1,2,0,0,2,5,0.71428573,1,266,1,2,6,15,2,1,1,2,0,0,2,5,0.71428573,1,266
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\UpdateCenter.java,hudson.model.UpdateCenter.HudsonUpgradeJob,getURL/0,0,1,2,6,1,0,0,0,0,0,1,1,0.5,1,2446,0,1,2,6,1,0,0,0,0,0,1,1,0.5,1,2446
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\UpdateCenter.java,hudson.model.UpdateCenter.HudsonUpgradeJob,"HudsonUpgradeJob/2[hudson.model.UpdateSite,hudson.model.Authentication]",0,0,1,3,0,0,2,0,0,0,0,0,-1,0,2442,0,0,1,3,0,0,2,0,0,0,0,0,-1,0,2442
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\UpdateCenter.java,hudson.model.UpdateCenter.HudsonUpgradeJob,"HudsonUpgradeJob/2[hudson.model.UpdateSite,org.acegisecurity.Authentication]",1,0,1,3,0,0,2,0,0,0,0,0,-1,0,2438,1,0,1,3,0,0,2,0,0,0,0,0,-1,0,2438
