file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,GodClass
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\serializer\filters\NameFilterTest_int_field.java,com.alibaba.json.bvt.serializer.filters.NameFilterTest_int_field.2,anonymous,1,0,0,,0.0,8,0,1,0,0,1,2,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,41,1.0,0.0,0.0,,0.0,8.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,41.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\serializer\filters\NameFilterTest_int_field.java,com.alibaba.json.bvt.serializer.filters.NameFilterTest_int_field.1,anonymous,1,0,0,,0.0,9,0,2,0,0,1,2,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,16,1.0,0.0,0.0,,0.0,9.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,16.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\test\benchmark\basic\ShortBenchmark.java,com.alibaba.json.test.benchmark.basic.ShortBenchmark,class,1,1,2,0.0,0.6666667,39,0,7,1,2,3,6,0.0,-1.0,7.0,2.0,0.22222222,-1.0,1.0,10,1.0,1.0,2.0,0.0,0.6666667,39.0,0.0,7.0,1.0,2.0,3.0,6.0,0.0,-1.0,7.0,2.0,0.22222222,-1.0,1.0,10.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\deser\array\FieldDoubleArrayTest.java,com.alibaba.json.bvt.parser.deser.array.FieldDoubleArrayTest,class,2,0,2,,0.0,13,0,3,1,0,1,1,0.0,0.0,6.0,0.0,0.0,-1.0,2.0,9,2.0,0.0,2.0,,0.0,13.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,-1.0,2.0,9.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\BigDecimalKeyFieldTest.java,com.alibaba.json.bvt.parser.BigDecimalKeyFieldTest,class,2,0,1,,0.0,8,0,7,0,0,1,1,0.0,0.0,3.0,0.0,0.0,-1.0,2.0,13,2.0,0.0,1.0,,0.0,8.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,-1.0,2.0,13.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\taobao\LongAsStringTest.java,com.alibaba.json.bvt.parser.taobao.LongAsStringTest.VO,innerclass,1,0,0,-1.0,,3,0,0,0,1,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,15,1.0,0.0,0.0,-1.0,,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,15.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\feature\WriteNullStringAsEmptyTest.java,com.alibaba.json.bvt.feature.WriteNullStringAsEmptyTest.Model,innerclass,1,0,1,-1.0,,3,0,0,0,1,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,30,1.0,0.0,1.0,-1.0,,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,30.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\serializer\IntegerArrayFieldSerializerTest.java,com.alibaba.json.bvt.serializer.IntegerArrayFieldSerializerTest,class,2,0,3,0.0,0.0,20,0,3,1,0,2,2,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,9,2.0,0.0,3.0,0.0,0.0,20.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,9.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\writeClassName\WriteClassNameTest_List.java,com.alibaba.json.bvt.writeClassName.WriteClassNameTest_List,class,2,0,3,0.0,0.0,26,0,11,2,0,2,2,0.0,0.0,5.0,0.0,0.0,-1.0,3.0,13,2.0,0.0,3.0,0.0,0.0,26.0,0.0,11.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,-1.0,3.0,13.0,0.0
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_1800\Issue1834.java,com.alibaba.json.bvt.issue_1800.Issue1834.IndexQuery_Comparable,innerclass,1,0,0,1.0,0.0,12,0,0,0,1,3,3,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,27,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,27.0,0.0
